"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"224","IBRiS","Rzeczpospolita","2022-09-23","2022-09-24","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29.6,9.8,6.9,6.1,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA
"225","Estymator","DoRzeczy.pl","2022-09-22","2022-09-23","National","1045","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,35.9,26.8,11,6.5,6.1,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA
"226","Instytut Badań Pollster","SE.pl","2022-09-21","2022-09-22","National","1014","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,34.8,29.3,9.2,6,6.3,NA,NA,12.6,0.3,NA,NA,NA,NA,NA,NA
"227","Social Changes","wPolityce.pl","2022-09-16","2022-09-19","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,30,6,5,8,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"228","IBRiS","Onet.pl","2022-09-13","2022-09-13","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28.3,10,6.7,6.1,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA
"229","Social Changes","wPolityce.pl","2022-09-09","2022-09-12","National","1092","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,26,8,7,8,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"230","Research Partner","Ariadna","2022-09-09","2022-09-12","National","1077","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,40.5,28.3,9.1,4.2,6.3,NA,NA,8.7,0.8,NA,NA,NA,NA,NA,NA
"231","United Surveys","WP.pl","2022-09-09","2022-09-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,29.1,9.6,5.8,4.7,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA
"232","Estymator","DoRzeczy.pl","2022-09-08","2022-09-09","National","1031","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,37,26.1,9.9,6.6,6.6,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA
"233","Kantar Public","","2022-09-02","2022-09-09","National","980","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,34,32,8,4,7,NA,NA,9,1,1,NA,NA,NA,NA,NA
"234","Ipsos","OKO.press","2022-09-06","2022-09-08","National","1009","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28,9,5,7,NA,NA,13,0,NA,NA,NA,NA,NA,NA
"235","Social Changes","wPolityce.pl","2022-09-02","2022-09-05","National","1084","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36,29,8,5,8,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"236","IBRiS","Radio ZET","2022-09-02","2022-09-03","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,29.4,8,5.9,4.6,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA
"237","United Surveys","DGP and RMF FM","2022-09-01","2022-09-01","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28,9.1,5.1,6.3,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA
"238","Research Partner","Ariadna","2022-08-26","2022-08-29","National","1086","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,39.2,28.5,8.9,5.1,5.9,NA,NA,9.1,0.9,NA,NA,NA,NA,NA,NA
"239","Social Changes","wPolityce.pl","2022-08-26","2022-08-29","National","1058","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,26,8,4,8,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"240","United Surveys","WP.pl","2022-08-27","2022-08-28","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.5,10.5,5.3,5.6,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA
"241","IBRiS","Rzeczpospolita","2022-08-26","2022-08-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,29.6,11.6,6,3.4,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA
"242","Estymator","DoRzeczy.pl","2022-08-25","2022-08-26","National","1022","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,36,28.1,10.6,6.9,6.3,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA
"243","Instytut Badań Pollster","SE.pl","2022-08-23","2022-08-24","National","1029","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,34.5,29.7,9.4,6.2,5.6,NA,NA,12.3,0.8,NA,NA,NA,NA,NA,NA
"244","Kantar","Fakty TVN and TVN24","2022-08-17","2022-08-18","National","1003","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33,30,8,2,9,NA,NA,15,0,2,NA,NA,NA,NA,NA
"245","IBSP","StanPolityki.pl","2022-08-12","2022-08-17","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,29.1,7.6,3.2,6.1,NA,NA,16.4,NA,3.7,NA,NA,NA,NA,NA
"246","Social Changes","wPolityce.pl","2022-08-12","2022-08-15","National","1068","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,28,9,4,9,NA,NA,8,0,NA,NA,NA,NA,NA,NA
"247","Research Partner","Ariadna","2022-08-12","2022-08-15","National","1060","Provided","Not Available","0.1%",NA,NA,2.2,NA,NA,NA,NA,NA,NA,38.9,29,8.3,4.7,6.4,NA,NA,9.5,0.3,NA,NA,NA,NA,NA,NA
"248","Estymator","DoRzeczy.pl","2022-08-11","2022-08-12","National","1037","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,36.7,26.7,11,7.8,6.6,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA
"249","Social Changes","wPolityce.pl","2022-08-05","2022-08-08","National","1066","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,31,8,5,8,NA,NA,7,1,NA,NA,NA,NA,NA,NA
"250","Social Changes","wPolityce.pl","2022-07-29","2022-08-01","National","1066","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,27,8,3,9,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"251","Research Partner","Ariadna","2022-07-28","2022-08-01","National","1030","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,41,27.7,7.9,6.1,6.5,NA,NA,8.3,0.1,NA,NA,NA,NA,NA,NA
"252","United Surveys","WP.pl","2022-07-29","2022-07-31","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,29.6,9.3,7.2,5,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA
"253","Estymator","DoRzeczy.pl","2022-07-28","2022-07-29","National","1022","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,36.6,26.4,11.6,7.1,6.9,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA
"254","IBRiS","Onet.pl","2022-07-26","2022-07-26","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,28.4,10.2,5.5,6,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA
"255","Social Changes","wPolityce.pl","2022-07-22","2022-07-25","National","1067","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,30,7,4,8,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"256","United Surveys","WP.pl","2022-07-22","2022-07-23","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,28.9,10.9,7,4.5,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA
"257","Kantar Public","","2022-07-15","2022-07-20","National","985","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,31,32,9,6,7,NA,NA,9,1,1,NA,NA,NA,NA,NA
"258","Instytut Badań Pollster","SE.pl","2022-07-19","2022-07-19","National","1070","Provided","Not Available","0.1%",NA,NA,0.7,NA,NA,NA,NA,NA,NA,33.8,27.3,12.7,5.1,8.7,NA,NA,11,0.4,NA,NA,NA,NA,NA,NA
"259","Social Changes","wPolityce.pl","2022-07-15","2022-07-18","National","1082","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,27,8,3,9,NA,NA,10,0,NA,NA,NA,NA,NA,NA
"260","Estymator","DoRzeczy.pl","2022-07-15","2022-07-16","National","1039","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,37.1,26.6,11.2,6.6,7,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA
"261","Social Changes","wPolityce.pl","2022-07-08","2022-07-11","National","1073","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,26,9,4,9,NA,NA,11,0,NA,NA,NA,NA,NA,NA
"262","Research Partner","Ariadna","2022-07-08","2022-07-11","National","1053","Provided","Not Available","0.1%",NA,NA,2.3,NA,NA,NA,NA,NA,NA,37.8,29.6,9,5.3,5.5,NA,NA,8.6,0.7,NA,NA,NA,NA,NA,NA
"263","IBRiS","Radio ZET","2022-07-05","2022-07-05","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,28.5,9.6,5.8,6.8,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA
"264","Social Changes","wPolityce.pl","2022-07-01","2022-07-04","National","1070","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,26,8,5,9,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"265","United Surveys","WP.pl","2022-07-01","2022-07-02","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,27.8,10.6,4.8,7.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"266","Research Partner","Ariadna","2022-06-24","2022-06-27","National","1051","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,38.6,27.5,8.8,5.3,7,NA,NA,10.8,0.9,NA,NA,NA,NA,NA,NA
"267","Social Changes","wPolityce.pl","2022-06-24","2022-06-27","National","1051","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,26,9,4,9,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"268","Estymator","DoRzeczy.pl","2022-06-23","2022-06-24","National","1064","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,38,26.9,11.8,6.9,5.9,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA
"269","Kantar","Fakty TVN and TVN24","2022-06-22","2022-06-23","National","1003","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36,30,9,2,7,NA,NA,12,0,2,NA,NA,NA,NA,NA
"270","Instytut Badań Pollster","SE.pl","2022-06-21","2022-06-22","National","1011","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,35.3,23.9,10.7,6.6,6,NA,NA,13.7,1,NA,NA,NA,NA,NA,NA
"271","Social Changes","wPolityce.pl","2022-06-17","2022-06-20","National","1075","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,27,9,4,7,NA,NA,11,2,NA,NA,NA,NA,NA,NA
"272","United Surveys","WP.pl","2022-06-17","2022-06-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,25.5,10.6,6,6.1,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA
"273","IBRiS","Rzeczpospolita","2022-06-17","2022-06-18","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,28.9,9.6,6.3,5.3,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA
"274","Estymator","DoRzeczy.pl","2022-06-12","2022-06-13","National","1029","Provided","Not Available","0.1%",NA,NA,1.9,NA,NA,NA,NA,NA,NA,38.5,27.1,11.1,6.3,5.8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"275","Social Changes","wPolityce.pl","2022-06-10","2022-06-13","National","1068","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,25,7,5,9,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"276","Research Partner","Ariadna","2022-06-10","2022-06-13","National","1040","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,37.5,26.3,8.8,5,6.2,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"277","IBSP","StanPolityki.pl","2022-06-08","2022-06-13","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,27.8,7.9,2.6,7.7,NA,NA,15.5,NA,1.1,NA,NA,NA,NA,NA
"278","Kantar","Wyborcza","2022-06-07","2022-06-09","National","1002","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,26.1,9,4.2,8.5,NA,NA,11.3,0,NA,NA,NA,NA,NA,NA
"279","Kantar Public","","2022-06-03","2022-06-08","National","981","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,28,10,5,5,NA,NA,12,1,0,NA,NA,NA,NA,NA
"280","United Surveys","DGP and RMF FM","2022-06-06","2022-06-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,28.1,9.1,5.5,4.6,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA
"281","Social Changes","wPolityce.pl","2022-06-03","2022-06-06","National","1065","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,27,7,4,8,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"282","United Surveys","WP.pl","2022-06-03","2022-06-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,26.9,10.1,5.7,6,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA
"283","IBRiS","Radio ZET","2022-05-30","2022-06-01","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,28.7,10,7.2,4.7,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA
"284","Research Partner","Ariadna","2022-05-27","2022-05-30","National","1046","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28.5,8.4,2.9,7.8,NA,NA,13.5,1.1,NA,NA,NA,NA,NA,NA
"285","Social Changes","wPolityce.pl","2022-05-23","2022-05-30","National","1055","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,27,8,3,8,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"286","Estymator","DoRzeczy.pl","2022-05-26","2022-05-27","National","1041","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,39.5,28.4,10.5,6.2,5.1,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA
"287","Instytut Badań Pollster","SE.pl","2022-05-24","2022-05-25","National","1062","Provided","Not Available","0.1%",NA,NA,2.2,NA,NA,NA,NA,NA,NA,35.3,25.1,10.9,4.7,5.5,NA,NA,12.3,0.8,NA,NA,NA,NA,NA,NA
"288","Social Changes","wPolityce.pl","2022-05-20","2022-05-23","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,25,8,3,10,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"289","IBRiS","Rzeczpospolita","2022-05-20","2022-05-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,29,9.1,6.2,5.5,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA
"290","United Surveys","WP.pl","2022-05-20","2022-05-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,28,10.2,6.3,5.8,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA
"291","Kantar Public","","2022-05-13","2022-05-18","National","990","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,35,29,10,4,5,NA,NA,11,2,1,NA,NA,NA,NA,NA
"292","Social Changes","wPolityce.pl","2022-05-13","2022-05-16","National","1053","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,28,7,3,9,NA,NA,11,0,NA,NA,NA,NA,NA,NA
"293","Estymator","DoRzeczy.pl","2022-05-12","2022-05-13","National","1029","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39.2,27.1,11.2,6.4,5.9,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA
"294","Ipsos","OKO.press","2022-05-10","2022-05-12","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,28,10,4,7,NA,NA,13,0,NA,NA,NA,NA,NA,NA
"295","Social Changes","wPolityce.pl","2022-05-06","2022-05-09","National","1067","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,27,9,4,8,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"296","Research Partner","Ariadna","2022-05-05","2022-05-09","National","1038","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,34.9,29.8,6.8,4.5,7.7,NA,NA,13.2,0.5,NA,NA,NA,NA,NA,NA
"297","United Surveys","WP.pl","2022-05-06","2022-05-07","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,29.9,10,5.5,6,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA
"298","IBRiS","Radio ZET","2022-05-04","2022-05-04","National","1100","Provided","Not Available","0.1%",NA,NA,1.9,NA,NA,NA,NA,NA,NA,38.7,28.4,9.7,5.5,5.4,NA,NA,9.3,1.1,NA,NA,NA,NA,NA,NA
"299","United Surveys","DGP and RMF FM","2022-05-02","2022-05-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,26.7,10.9,5.8,5,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA
"300","Social Changes","wPolityce.pl","2022-04-29","2022-05-04","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,27,8,3,8,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"301","Estymator","DoRzeczy.pl","2022-04-28","2022-04-29","National","1042","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,38.4,27,10.5,6.7,7.3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"302","Instytut Badań Pollster","SE.pl","2022-04-27","2022-04-28","National","1046","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,35.4,26.5,10.1,5.7,5.5,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA
"303","IBRiS","Onet.pl","2022-04-26","2022-04-26","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30.4,9.7,5.6,5.1,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA
"304","Research Partner","Ariadna","2022-04-22","2022-04-25","National","1093","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,36.3,28.5,6.8,4.1,8.8,NA,NA,12,0.2,NA,NA,NA,NA,NA,NA
"305","Social Changes","wPolityce.pl","2022-04-22","2022-04-25","National","1090","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,40,25,8,3,8,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"306","United Surveys","WP.pl","2022-04-22","2022-04-23","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,29,10.1,6.3,3.6,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA
"307","Social Changes","wPolityce.pl","2022-04-15","2022-04-18","National","1057","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,36,26,10,2,11,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"308","Estymator","DoRzeczy.pl","2022-04-12","2022-04-14","National","1053","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,39,26.4,8.5,6.6,8.3,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA
"309","Kantar Public","","2022-04-08","2022-04-13","National","979","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,30,9,5,7,NA,NA,10,1,1,NA,NA,NA,NA,NA
"310","Social Changes","wPolityce.pl","2022-04-08","2022-04-11","National","1079","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,26,7,3,9,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"311","Research Partner","Ariadna","2022-04-08","2022-04-11","National","1055","Provided","Not Available","0.1%",NA,NA,2.6,NA,NA,NA,NA,NA,NA,37.5,26.7,7,4.4,7.2,NA,NA,13.3,1,NA,NA,NA,NA,NA,NA
"312","IBSP","StanPolityki.pl","2022-04-07","2022-04-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,22.6,5.5,2.8,6.9,NA,NA,16.9,NA,4.2,NA,NA,NA,NA,NA
"313","Social Changes","wPolityce.pl","2022-04-01","2022-04-04","National","1067","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,25,9,5,8,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"314","IBRiS","Rzeczpospolita","2022-04-01","2022-04-02","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,29.4,8.3,5.9,7.4,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA
"315","United Surveys","WP.pl","2022-04-01","2022-04-02","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,28.3,7.4,6.4,6.1,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA
"316","IBRiS","Radio ZET","2022-03-30","2022-03-31","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,29.7,7.2,6,8.9,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA
"317","Estymator","DoRzeczy.pl","2022-03-30","2022-03-31","National","1031","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,39.2,25.4,8.3,6.1,7.4,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA
"318","Social Changes","wPolityce.pl","2022-03-25","2022-03-28","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,29,7,3,9,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"319","Research Partner","Ariadna","2022-03-25","2022-03-28","National","1056","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,37.2,26.8,7.1,3.4,8.8,NA,NA,13.1,0.6,NA,NA,NA,NA,NA,NA
"320","Social Changes","wPolityce.pl","2022-03-18","2022-03-21","National","1074","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,25,8,5,10,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"321","Kantar Public","Polityka","2022-03-18","2022-03-21","National","1000","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,30,6,2,7,NA,NA,17,1,NA,NA,NA,NA,NA,NA
"322","United Surveys","DGP and RMF FM","2022-03-18","2022-03-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,26.6,7.9,5.5,7.7,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA
"323","United Surveys","WP.pl","2022-03-18","2022-03-18","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,27.8,9.8,6.3,4.9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"324","Kantar Public","","2022-03-11","2022-03-16","National","974","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,32,8,4,6,NA,NA,11,1,1,NA,NA,NA,NA,NA
"325","Research Partner","Ariadna","2022-03-11","2022-03-14","National","Not Available","Not Available","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,34.6,28.4,9,4.7,8.4,NA,NA,11.5,1.1,NA,NA,NA,NA,NA,NA
"326","Estymator","DoRzeczy.pl","2022-03-10","2022-03-11","National","1022","Provided","Not Available","0.1%",NA,NA,1.5,NA,NA,NA,NA,NA,NA,39.6,25.1,7.5,6.3,7,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA
"327","Ipsos","OKO.press","2022-03-08","2022-03-10","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,26.7,5.6,4.4,12.2,NA,NA,13.3,0,NA,NA,NA,NA,NA,NA
"328","Kantar","KO","2022-03-04","2022-03-04","National","1100","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33,28,4,6,11,NA,NA,16,0,NA,NA,NA,NA,NA,NA
"329","United Surveys","WP.pl","2022-03-04","2022-03-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,26.4,8.6,5.7,5.5,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA
"330","Instytut Badań Pollster","SE.pl","2022-03-02","2022-03-02","National","1041","Provided","Not Available","0.1%",NA,NA,1.6,NA,NA,NA,NA,NA,NA,38,25.9,6.6,6,7.7,NA,NA,13.1,0.8,NA,NA,NA,NA,NA,NA
"331","IBRiS","Radio ZET","2022-03-01","2022-03-01","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,26.1,8.2,5.6,4.7,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA
"332","Social Changes","wPolityce.pl","2022-02-28","2022-03-01","National","1006","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,27,7,4,8,NA,NA,11,1,NA,NA,NA,NA,NA,NA
"333","Research Partner","Ariadna","2022-02-25","2022-02-28","National","1074","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,36.1,28.5,7.8,3.8,8.1,NA,NA,12.2,0.9,NA,NA,NA,NA,NA,NA
"334","Social Changes","wPolityce.pl","2022-02-18","2022-02-21","National","1001","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,28,8,4,10,NA,NA,12,1,NA,NA,NA,NA,NA,NA
"335","United Surveys","WP.pl","2022-02-18","2022-02-18","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,30,6.4,5.8,10,NA,NA,10.5,0,NA,NA,NA,NA,NA,NA
"336","Instytut Badań Pollster","SE.pl","2022-02-16","2022-02-17","National","1059","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,36,24.5,8.3,5.8,9.1,NA,NA,14.3,0.6,NA,NA,NA,NA,NA,NA
